client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
32884,,,married,,no,no,may,9,371,1,1,failure,92.893,1.299,no
3169,55,unknown,married,unknown,unknown,yes,may,24,285,2,0,nonexistent,93.994,4.86,no
32206,33,blue-collar,married,basic.9y,no,no,may,1,52,1,1,failure,92.893,1.313,no
9403,,,married,,no,no,jun,3,355,4,0,nonexistent,94.465,4.967,no
14020,27,housemaid,married,high.school,no,yes,jul,30,189,2,0,nonexistent,93.918,4.963,no
17201,58,retired,married,professional.course,no,yes,jul,16,605,1,0,nonexistent,93.918,4.962,no
879,48,services,married,high.school,unknown,yes,may,17,243,1,0,nonexistent,93.994,4.856,no
23757,51,admin.,divorced,university.degree,unknown,yes,aug,21,24,7,0,nonexistent,93.444,4.962,no
10821,24,entrepreneur,married,university.degree,no,yes,jun,1,126,4,0,nonexistent,94.465,4.962,no
14355,36,technician,divorced,professional.course,no,yes,jul,26,43,4,0,nonexistent,93.918,4.962,no
32311,,,married,,no,no,may,2,451,3,0,nonexistent,92.893,1.313,no
31850,42,blue-collar,single,basic.4y,no,yes,may,5,560,3,0,nonexistent,92.893,1.327,no
13595,43,blue-collar,single,basic.9y,no,yes,jul,31,982,1,0,nonexistent,93.918,4.963,yes
21871,56,admin.,married,university.degree,no,no,aug,9,552,3,0,nonexistent,93.444,4.964,yes
16735,58,blue-collar,married,basic.4y,no,no,jul,9,265,3,0,nonexistent,93.918,4.962,no
8040,36,housemaid,married,high.school,no,yes,jun,16,171,1,0,nonexistent,94.465,4.865,no
14064,26,blue-collar,single,basic.9y,unknown,yes,jul,1,151,2,0,nonexistent,93.918,4.963,no
17688,53,technician,married,professional.course,no,no,jul,22,178,11,0,nonexistent,93.918,4.961,no
15507,37,entrepreneur,single,professional.course,no,yes,jul,10,92,2,0,nonexistent,93.918,4.957,no
37480,,,married,,no,yes,aug,5,399,1,1,failure,92.201,0.873,yes
17267,59,retired,married,basic.9y,unknown,no,jul,19,1330,3,0,nonexistent,93.918,4.962,yes
1670,49,unemployed,single,professional.course,unknown,no,may,16,339,2,0,nonexistent,93.994,4.855,no
8528,26,unknown,single,high.school,unknown,yes,jun,3,524,15,0,nonexistent,94.465,4.864,yes
15755,,,single,,no,no,jul,23,101,3,0,nonexistent,93.918,4.96,no
20770,51,management,married,high.school,unknown,no,aug,19,158,1,0,nonexistent,93.444,4.965,no
36915,45,admin.,married,basic.9y,no,yes,jun,12,60,2,0,nonexistent,92.963,1.215,no
33728,30,technician,single,high.school,no,yes,may,3,9,12,0,nonexistent,92.893,1.281,no
22969,31,admin.,married,university.degree,no,no,aug,14,119,9,0,nonexistent,93.444,4.965,no
8925,41,blue-collar,married,basic.4y,unknown,no,jun,18,348,1,0,nonexistent,94.465,4.866,no
144,,,divorced,,unknown,yes,may,24,73,1,0,nonexistent,93.994,4.857,no
36968,47,housemaid,married,basic.6y,unknown,no,jul,19,148,1,0,nonexistent,92.469,1.072,no
36562,69,entrepreneur,married,high.school,no,no,jun,15,140,2,0,nonexistent,92.963,1.26,yes
40868,26,technician,single,university.degree,no,no,oct,2,649,1,0,nonexistent,94.601,0.959,yes
14050,,,divorced,,no,no,jul,13,911,2,0,nonexistent,93.918,4.963,yes
10835,36,blue-collar,single,high.school,no,yes,jun,2,835,1,0,nonexistent,94.465,4.962,yes
11042,31,services,single,high.school,no,no,jun,2,49,2,0,nonexistent,94.465,4.962,no
23685,,,single,,no,yes,aug,22,289,1,0,nonexistent,93.444,4.962,no
24425,33,blue-collar,married,basic.9y,no,yes,nov,22,94,1,0,nonexistent,93.2,4.191,no
8725,30,blue-collar,married,basic.6y,no,no,jun,8,201,2,0,nonexistent,94.465,4.864,no
25809,30,management,married,university.degree,no,no,nov,29,72,5,0,nonexistent,93.2,4.12,no
