client_id,age,job,marital,education,credit_default,mortgage,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,date
32884,38.0,Admin.,Married,University.Degree,No,No,06:11,1,1,Failure,92.893,1.299,Failed,2022-05-09
3169,55.0,Admin.,Married,University.Degree,No,Yes,04:45,2,0,Nonexistent,93.994,4.86,Failed,2022-05-24
32206,33.0,Blue-Collar,Married,Basic.9Y,No,No,00:52,1,1,Failure,92.893,1.313,Failed,2022-05-01
9403,38.0,Admin.,Married,University.Degree,No,No,05:55,4,0,Nonexistent,94.465,4.967,Failed,2022-06-03
14020,27.0,Housemaid,Married,High.School,No,Yes,03:09,2,0,Nonexistent,93.918,4.963,Failed,2022-07-30
17201,58.0,Retired,Married,Professional.Course,No,Yes,10:05,1,0,Nonexistent,93.918,4.962,Failed,2022-07-16
879,48.0,Services,Married,High.School,No,Yes,04:03,1,0,Nonexistent,93.994,4.856,Failed,2022-05-17
23757,51.0,Admin.,Divorced,University.Degree,No,Yes,00:24,7,0,Nonexistent,93.444,4.962,Failed,2022-08-21
10821,24.0,Entrepreneur,Married,University.Degree,No,Yes,02:06,4,0,Nonexistent,94.465,4.962,Failed,2022-06-01
14355,36.0,Technician,Divorced,Professional.Course,No,Yes,00:43,4,0,Nonexistent,93.918,4.962,Failed,2022-07-26
32311,38.0,Admin.,Married,University.Degree,No,No,07:31,3,0,Nonexistent,92.893,1.313,Failed,2022-05-02
31850,42.0,Blue-Collar,Single,Basic.4Y,No,Yes,09:20,3,0,Nonexistent,92.893,1.327,Failed,2022-05-05
13595,43.0,Blue-Collar,Single,Basic.9Y,No,Yes,16:22,1,0,Nonexistent,93.918,4.963,Successful,2022-07-31
21871,56.0,Admin.,Married,University.Degree,No,No,09:12,3,0,Nonexistent,93.444,4.964,Successful,2022-08-09
16735,58.0,Blue-Collar,Married,Basic.4Y,No,No,04:25,3,0,Nonexistent,93.918,4.962,Failed,2022-07-09
8040,36.0,Housemaid,Married,High.School,No,Yes,02:51,1,0,Nonexistent,94.465,4.865,Failed,2022-06-16
14064,26.0,Blue-Collar,Single,Basic.9Y,No,Yes,02:31,2,0,Nonexistent,93.918,4.963,Failed,2022-07-01
17688,53.0,Technician,Married,Professional.Course,No,No,02:58,11,0,Nonexistent,93.918,4.961,Failed,2022-07-22
15507,37.0,Entrepreneur,Single,Professional.Course,No,Yes,01:32,2,0,Nonexistent,93.918,4.957,Failed,2022-07-10
37480,38.0,Admin.,Married,University.Degree,No,Yes,06:39,1,1,Failure,92.201,0.873,Successful,2022-08-05
17267,59.0,Retired,Married,Basic.9Y,No,No,22:10,3,0,Nonexistent,93.918,4.962,Successful,2022-07-19
1670,49.0,Unemployed,Single,Professional.Course,No,No,05:39,2,0,Nonexistent,93.994,4.855,Failed,2022-05-16
8528,26.0,Admin.,Single,High.School,No,Yes,08:44,15,0,Nonexistent,94.465,4.864,Successful,2022-06-03
15755,38.0,Admin.,Single,University.Degree,No,No,01:41,3,0,Nonexistent,93.918,4.96,Failed,2022-07-23
20770,51.0,Management,Married,High.School,No,No,02:38,1,0,Nonexistent,93.444,4.965,Failed,2022-08-19
36915,45.0,Admin.,Married,Basic.9Y,No,Yes,01:00,2,0,Nonexistent,92.963,1.215,Failed,2022-06-12
33728,30.0,Technician,Single,High.School,No,Yes,00:09,12,0,Nonexistent,92.893,1.281,Failed,2022-05-03
22969,31.0,Admin.,Married,University.Degree,No,No,01:59,9,0,Nonexistent,93.444,4.965,Failed,2022-08-14
8925,41.0,Blue-Collar,Married,Basic.4Y,No,No,05:48,1,0,Nonexistent,94.465,4.866,Failed,2022-06-18
